domain,ip_address,last_checked,is_withdrawn,withdrawn_reason,niches,semrush_AS,semrush_traffic,semrush_perc_english_traffic,semrush_organic_kw,moz_da,moz_pa,moz_perc_quality_bl,moz_spam_score,domain_age,majestic_trust_flow,majestic_citation_flow,ahrefs_domain_rank,errors
msn.com,204.79.197.219,,,,,94,62179054,35,12050827,94,79,93,32,29,5,38,,"The domain has already been taken."
apnews.com,34.111.72.3,,,,,88,34461660,81,10974931,92,74,75,2,32,,,,"The domain has already been taken."
houzz.com,151.101.128.93,,,,,72,3905860,82,5255660,90,72,90,1,17,19,32,,"The domain has already been taken."
newsbreak.com,52.11.162.181,,,,,62,972615,95,3798351,72,57,35,1,26,,,,"The domain has already been taken."
theglobeandmail.com,199.198.138.250,,,,,71,3353890,91,2783909,92,68,49,1,28,,,,"The domain has already been taken."
patreon.com,104.16.6.49,,,,,79,8356063,57,2486932,92,71,83,7,10,30,60,,"The domain has already been taken."
nairaland.com,104.20.248.29,,,,,62,3930828,8,1948675,89,63,86,1,18,,,,"The domain has already been taken."
storables.com,3.161.242.21,,,,,46,108424,95,961557,79,,,,,,,,"The domain has already been taken."
robots.net,18.161.135.73,,,,,43,75513,75,934699,57,,,,,,,,"The domain has already been taken."
benzinga.com,151.101.2.137,,,,,62,1052458,77,760471,89,63,81,1,14,,,,"The domain has already been taken."
evernote.com,34.107.140.105,,,,,64,1101470,19,300395,92,79,89,1,24,,,,"The domain has already been taken."
wakelet.com,18.238.132.125,,,,,49,56173,21,293617,71,,,,,,,,"The domain has already been taken."
bignewsnetwork.com,104.21.30.254,,,,,33,2809,61,178463,66,,,,,,,,"The domain has already been taken."
pledgetimes.com,104.21.74.69,,,,,37,16083,69,163721,55,,,,,,,,"The domain has already been taken."
editorialge.com,104.26.15.71,,,,,44,135026,38,155694,79,,,,,30,50,,"The domain has already been taken."
hashnode.dev,76.76.21.164,,,,,43,72759,26,144759,58,,,,,1,18,,"The domain has already been taken."
scoopearth.com,104.255.220.96,,,,,40,70468,28,121545,62,,,,,24,38,,"The domain has already been taken."
awbi.org,104.21.8.71,,,,,55,1366572,2,110866,57,45,27,1,21,25,49,,"The domain has already been taken."
techbullion.com,162.159.135.42,,,,,42,41308,41,110456,63,,,,,,,,"The domain has already been taken."
